"AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
139.060005,142.849998,137.830004,140.919994,266022400,18.6435
143.020002,143.160006,139.4,140.770004,256720100,18.623656
140.150003,141.790001,139.319998,140.309994,172960200,18.562797
141.139999,144.65,140.309994,144.150002,284720100,19.070825
146.729994,149.849998,146.650005,148.280003,263040400,19.617217
146.839996,153.219995,146.819996,153.179995,298137700,20.265479
154.469997,154.999996,151.250004,152.769999,243817000,20.211237
153.769995,154.519999,152.320002,154.499998,164549700,20.440113
153.440001,154.6,152.749998,153.470001,153775300,20.303846
154.630001,157.409998,152.930002,156.34,209267100,20.683543
156.550005,158.589998,155.890003,158.449995,198017400,20.962692
157.780006,159.179998,157.010002,157.919996,173129600,20.892574
157.999998,158.08,153.500002,156.239998,164239600,20.670313
158.370007,161.58,157.700005,161.449997,235867800,21.359588
163.490004,167.909998,162.970005,167.909998,208982200,22.214236
170.199997,171.110004,166.679996,167.859997,276071600,22.207621
167.550003,167.879997,165.599998,166.789999,166897500,22.066062
169.489994,171.879995,153.209995,162.230001,410998000,21.462781
163.010006,167.279997,161.800005,167.249996,247044000,22.126919
167.98,169.569996,163.500004,166.980003,269482500,22.091199
165.539997,170.179996,165.150002,169.579996,266957600,22.435174
172.690001,173.039995,169.18,172.750002,281903300,22.854561
171.5,174.189995,171.050003,173.500006,205919000,22.953785
174.239996,174.630005,170.000006,170.420002,322945000,22.546305
170.35,174.899998,169.960005,174.359999,412374900,23.067561
188.560003,188.600004,182.760004,186.160002,448791000,24.628683
185.809994,187.209999,179.240004,185.929996,322120400,24.598254
184.869999,185.899996,181.660006,182.780005,243400500,24.181515
185.289995,185.369997,182.879993,184.699995,176719200,24.435527
185.449999,186.589998,184.699995,185.090004,135138500,24.487124
186.180002,189.369995,184.729996,186.999994,234853500,24.739813
187.629995,190.119999,184.950001,189.949995,208327700,25.130094
188.600004,190.099998,179.999994,187.440004,201259100,24.798026
189.210005,189.439997,183.489994,187.870001,250528600,24.854914
185.289995,188.959999,184.239998,186.180002,201044200,24.631329
187.049995,192.000002,185.269995,191.789997,238681800,25.373523
190.609997,192.680004,186.130001,186.300005,248581900,24.647206
186.67,186.900005,167.769995,175.469997,472594500,23.214412
171.150005,175.120003,165.210003,165.370007,381595200,21.878199
165.280005,167.700006,150.630003,153.759995,442266300,20.342212
160.849997,170.980001,153.759995,169.960005,434861700,22.485449
177.159996,177.570005,163.739996,166.109997,362292000,21.976098
166.390003,169.589996,160.299997,164.299995,371852600,21.736638
165.300005,167.020004,159.330002,166.390003,345873500,22.013143
166.099997,168.200005,162.099998,163.950001,288607200,21.690334
165.67,171.790007,163.530005,168.850006,385910700,22.338597
165.840004,172.350006,164.670004,168.459997,304452400,22.287
171.999998,172.049999,169.75,171.540001,116439400,22.69448
173.589994,177.269999,172.350006,172.539997,326438700,22.826778
175.220005,175.790005,170.010006,174.809996,329257600,23.127095
176.820002,180.599995,175.349995,180.219999,287728000,23.84283
179.429995,185.170006,179.150002,184.289999,262731700,24.381285
